g:\MOVIE-FILES\,プレイリスト 1-10.mp4,素敵な宇宙船地球号-#1「2008CO2スリム化大作戦」～地球のために今すべきこと～,20080101,1
g:\MOVIE-FILES\,プレイリスト 1-2.mp4,素敵な宇宙船地球号-#2「2008CO2スリム化大作戦」～地球のために今すべきこと～,20080102,1
g:\MOVIE-FILES\,プレイリスト 2-11.mp4,素敵な宇宙船地球号-#1「奇跡の空中庭園！Vol03」～密着200日！メイドイン銀座の米作り～,20080103,1
g:\MOVIE-FILES\,プレイリスト 3-12.mp4,素敵な宇宙船地球号-#1「猟師が教える命の食べ方」～京都・紅葉の山に異変アリ！～,20080104,1
g:\MOVIE-FILES\,プレイリスト 3-3.mp4,素敵な宇宙船地球号-#2-「猟師が教える命の食べ方」～京都・紅葉の山に異変アリ！～,20080105,1
g:\MOVIE-FILES\,プレイリスト 4-13.mp4,世界遺産-v557-#1「プランタン－モレトゥスの家屋・工房・博物館複合体（ベルギー）,200708262300,1
g:\MOVIE-FILES\,プレイリスト 4-4.mp4,世界遺産-v557-#2「プランタン－モレトゥスの家屋・工房・博物館複合体（ベルギー）,200708262300,1
g:\MOVIE-FILES\,プレイリスト 5-14.mp4,世界遺産第-v562-#1「ザモシチ旧市街（ポーランド）」,200709302300,1
g:\MOVIE-FILES\,プレイリスト 5-5.mp4,世界遺産-v562-#2「ザモシチ旧市街（ポーランド）」,200709302300,1
g:\MOVIE-FILES\,あんどーなつ1-1.mp4,あんどーなつ-v07-「浅草芸者の心意気」,20080818
g:\MOVIE-FILES\,あんどーなつ2-2.mp4,あんどーなつ-v08-「しょっぱい帰郷」,20080825
g:\MOVIE-FILES\,あんどーなつ3-3.mp4,あんどーなつ-v09-「女将さんがお見合いっ！？」,20080901
g:\MOVIE-FILES\,あんどーなつ4-4.mp4,あんどーなつ-v10-「父と息子…涙のオムレツ」,20080908
g:\MOVIE-FILES\,あんどーなつ5-5.mp4,あんどーなつ-v11-「京都から来た男」,20080915
g:\MOVIE-FILES\,あんどーなつ6-6.mp4,あんどーなつ-v12-「暖簾をかけた決勝戦」,20080922
g:\MOVIE-FILES\,00 スポパラ「メガスポ！／怒りオヤジ３」Lp071-0-1.mp4,スポパラ「メガスポ！／怒りオヤジ３」,20090101
g:\MOVIE-FILES\,00 奇跡体験！アンビリバボ―07-1.mp4,奇跡体験！アンビリバボ―,20090101
g:\MOVIE-FILES\,僕とシッポと神楽坂第6話201811162315.mp4,僕とシッポと神楽坂第6話201811162315
g:\MOVIE-FILES\,ホワイトカラー５ 天才詐欺師は捜査官 Ep12 201709251240「マネーゲーム」#12-2.mp4,ホワイトカラー５ 天才詐欺師は捜査官 Ep12 201709251240「マネーゲーム」#12
g:\MOVIE-FILES\,イチから住～前略、移住しました～ 201709241830「長野県小諸移住の鳥羽潤、今旬のキノコ蕎麦作り」-1.mp4,
g:\MOVIE-FILES\,宇宙戦隊キュウレンジャー Ep31 201709240730【ナーガ奪還大作戦!】-4.mp4,宇宙戦隊キュウレンジャー Ep31 201709240730【ナーガ奪還大作戦！】
g:\MOVIE-FILES\,仮面ライダービルド Ep04 201709240800『証言はゼロになる』-3.mp4,仮面ライダービルド Ep04 201709240800「証言はゼロになる」
g:\MOVIE-FILES\,ヘボット!　 Ep50 201709240700「にちようびのせかい」-2.mp4,ヘボット！-Ep50 201709240700「にちようびのせかい」
g:\MOVIE-FILES\,キラキラ☆プリキュアアラモード Ep01 201709240830「スイーツがキケン！？復活、闇のアニマル!」-1.mp4,キラキラ☆プリキュアアラモード-Ep01-201709240830「スイーツがキケン！？復活、闇のアニマル！」
g:\MOVIE-FILES\,下町ロケット(2018) Ep10201812162100-1.mp4,下町ロケット(2018)-Ep10201812162100
g:\MOVIE-FILES\,ドロ刑 -警視庁捜査三課-Ep10（最終回）201812152200-2.mp4,ドロ刑 -警視庁捜査三課-Ep10（最終回）201812152200
g:\MOVIE-FILES\,サイレント・ヴォイス 行動心理捜査官・楯岡絵麻 Ep10 綺麗な薔薇は棘だらけ201812152359-1.mp4,サイレント・ヴォイス 行動心理捜査官・楯岡絵麻-Ep10-綺麗な薔薇は棘だらけ201812152359
D:\work\DVD-RW-00149\,2019／09／29 08：54 Line：1.mpg,千葉の贈り物～まごころ配達人～
D:\work\DVD-RW-00149\,2019／09／29 09：00 Line：1.mpg,ゲゲゲの鬼太郎【九尾の狐】　#75
D:\work\DVD-RW-00149\,2019／09／29 09：30 Line：1.mpg,
D:\work\DVD-RW-00149\,2019／09／29 17：00 Line：1.mpg,
D:\work\DVD-RW-00149\,2019／09／29 18：00 Line：1.mpg,
D:\work\DVD-RW-00149\,2019／09／30 05：43 Line：2.mpg,
D:\work\DVD-RW-00149\,2019／09／30 08：15 Line：1.mpg,
D:\work\DVD-RW-00149\,2019／10／01 05：37 Line：2.mpg,
D:\work\DVD-RW-00149\,2019／10／01 17：55 Line：1.mpg,
D:\work\DVD-RW-00149\,2019／10／01 18：25 Line：1.mpg,
D:\work\DVD-RW-00149\,修復タイトル-01.mpg,
D:\work\DVD-RW-00149\,修復タイトル-02.mpg,
D:\work\DVD-RW-00149\,修復タイトル-03.mpg,
D:\work\DVD-RW-00149\,修復タイトル-04.mpg, 
